sample_rank,repo_id,repo_name,year,observation_status,observation_end,created_at,llm_native_manual,llm_native_confidence,collaboration_niche,agent_proximity,language,first_event_at,last_event_at,event_rows,event_rows_from_api,active_actors,push_events,push_commits,issues_opened,issues_closed,issues_reopened,issues_opened_author_missing,issues_opened_by_bot,issues_opened_by_human,issues_opened_by_external,issue_median_close_days,issues_closed_with_duration,prs_opened,pr_events_from_api,prs_merged,prs_closed_unmerged,prs_reopened,prs_opened_author_missing,prs_opened_by_bot,prs_opened_by_human,prs_opened_by_external,pr_median_merge_days,prs_merged_with_duration,pr_median_close_unmerged_days,prs_closed_unmerged_with_duration,issue_pr_comment_events,comment_events_author_missing,comment_events_by_bot,comment_events_by_human,pr_review_events,reviews_approved,reviews_changes_requested,review_events_by_maintainer,pr_review_comment_events,review_comment_events_author_missing,review_comment_events_by_bot,review_comment_events_by_human,non_human_public_events,human_public_events,source,quality_flag
1,1103012935,openclaw/openclaw,2022,not_public_yet,2022-12-31,2025-11-24,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
1,1103012935,openclaw/openclaw,2023,not_public_yet,2023-12-31,2025-11-24,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
1,1103012935,openclaw/openclaw,2024,not_public_yet,2024-12-31,2025-11-24,llm_native,high,agent_application,direct_agent_experience,TypeScript,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
1,1103012935,openclaw/openclaw,2025,observed,2025-12-31,2025-11-24,llm_native,high,agent_application,direct_agent_experience,TypeScript,2025-11-24 10:23:22,2025-12-31 23:40:15,1469,0,432,933,0,21,12,1,0,0,21,21,1.78,12,15,0,0,3,0,15,0,0,0,,0,,0,40,0,3,37,3,0,0,0,6,0,0,6,3,64,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete
1,1103012935,openclaw/openclaw,2026,observed,2026-08-29,2025-11-24,llm_native,high,agent_application,direct_agent_experience,TypeScript,2026-01-01 00:04:11,2026-08-28 14:55:49,390703,26146,139268,37438,0,14085,8177,49,0,29,14056,14085,9.94,8156,10703,19914,2038,10375,580,10703,9901,0,0,,0,5.52,7863,54948,0,25445,29503,20041,334,78,0,26467,0,21365,5102,56740,48663,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
2,1024554267,NousResearch/hermes-agent,2022,not_public_yet,2022-12-31,2025-07-22,llm_native,high,agent_application,direct_agent_experience,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
2,1024554267,NousResearch/hermes-agent,2023,not_public_yet,2023-12-31,2025-07-22,llm_native,high,agent_application,direct_agent_experience,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
2,1024554267,NousResearch/hermes-agent,2024,not_public_yet,2024-12-31,2025-07-22,llm_native,high,agent_application,direct_agent_experience,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
2,1024554267,NousResearch/hermes-agent,2025,not_observed,2025-12-31,2025-07-22,llm_native,high,agent_application,direct_agent_experience,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,no_event_rows_not_equivalent_to_no_activity
2,1024554267,NousResearch/hermes-agent,2026,observed,2026-08-29,2025-07-22,llm_native,high,agent_application,direct_agent_experience,Python,2026-02-25 20:53:49,2026-08-28 14:54:57,71958,7434,35050,6816,0,1637,508,4,0,3,1634,1635,1.71,508,4483,7020,871,3023,51,4480,3499,0,0,,0,5.49,2627,6008,0,373,5635,881,159,26,0,919,0,491,428,4366,7698,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
3,65600975,pytorch/pytorch,2022,observed,2022-12-31,2016-08-13,traditional,high,model_infra,supporting_infrastructure,Python,2022-01-01 00:09:44,2022-12-31 23:39:07,362632,1240,16510,119174,5577887,6111,3719,246,0,468,5643,5300,20.29,3719,14634,971,354,15654,555,0,5,14629,11021,0.69,354,5.32,15654,108509,0,21043,87466,43838,13198,715,11897,36428,0,0,36428,21516,144166,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
3,65600975,pytorch/pytorch,2023,observed,2023-12-31,2016-08-13,traditional,high,model_infra,supporting_infrastructure,Python,2023-01-01 00:27:27,2023-12-31 23:56:30,395345,1407,22044,107213,5098752,8531,5964,590,0,1392,7139,7686,14.13,5964,16122,992,280,15267,675,0,16,16106,12232,0.73,280,2.63,15267,132002,0,30165,101837,50022,15828,1236,14235,39512,0,0,39512,31573,164594,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
3,65600975,pytorch/pytorch,2024,observed,2024-12-31,2016-08-13,traditional,high,model_infra,supporting_infrastructure,Python,2024-01-01 00:02:15,2024-12-31 23:49:38,476702,1476,21464,159171,23524141,8948,6862,678,0,1928,7020,8190,18.01,6862,18124,1076,342,16802,1290,0,13,18111,13410,0.88,342,2.89,16802,160224,0,32670,127554,49138,18000,1365,14680,35771,0,179,35592,34790,188277,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
3,65600975,pytorch/pytorch,2025,observed,2025-12-31,2016-08-13,traditional,high,model_infra,supporting_infrastructure,Python,2025-01-01 00:09:07,2025-12-31 23:52:07,339414,9436,15069,96172,5426534,6263,4649,691,0,1107,5156,5686,31.85,4647,14352,8492,311,14443,1011,1623,3480,12712,9167,0.74,236,3.59,13300,115474,0,29763,85711,34252,12769,969,10481,24170,0,128,24042,34483,127621,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
3,65600975,pytorch/pytorch,2026,observed,2026-08-29,2016-08-13,traditional,high,model_infra,supporting_infrastructure,Python,2026-01-01 00:02:13,2026-08-28 14:42:34,100123,4508,3162,42362,0,789,951,91,0,65,724,789,114.99,945,2209,4208,39,3836,188,2204,1810,0,0,,0,15.1,2354,19176,0,6154,13022,5111,1787,334,7,3577,0,170,3407,8199,17153,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
4,214587193,supabase/supabase,2022,observed,2022-12-31,2019-10-12,traditional,high,agent_runtime_infra,supporting_infrastructure,TypeScript,2022-01-01 00:55:43,2022-12-31 23:20:45,67001,14635,20771,7553,127637,1079,756,23,0,27,1052,981,33.74,756,3165,251,2512,417,24,0,221,2944,1991,0.24,2495,3.89,417,8334,0,3769,4565,4399,2869,118,2406,2086,0,26,2060,10693,10621,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
4,214587193,supabase/supabase,2023,observed,2023-12-31,2019-10-12,traditional,high,agent_runtime_infra,supporting_infrastructure,TypeScript,2023-01-01 00:11:57,2023-12-31 21:26:38,85263,10514,23458,11284,239853,1363,884,33,0,33,1330,1293,109.76,884,4231,386,3189,594,45,0,148,4083,2760,0.43,3159,2.53,594,11904,0,5658,6246,7253,3831,149,3785,4967,0,785,4182,9698,15841,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
4,214587193,supabase/supabase,2024,observed,2024-12-31,2019-10-12,traditional,high,agent_runtime_infra,supporting_infrastructure,TypeScript,2024-01-01 00:14:29,2024-12-31 23:59:39,75876,7901,21106,12451,1935151,2053,1708,33,0,21,2032,2027,1.74,1708,4115,303,3167,570,30,0,178,3937,2632,0.58,3142,3.93,570,14740,0,7834,6906,6787,3846,97,3090,4009,0,414,3595,11051,16470,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
4,214587193,supabase/supabase,2025,observed,2025-12-31,2019-10-12,traditional,high,agent_runtime_infra,supporting_infrastructure,TypeScript,2025-01-01 00:22:22,2025-12-31 23:55:30,86037,28708,20432,10984,110893,1186,904,19,0,294,892,891,11.72,903,5159,5394,3955,628,50,522,2747,2940,1908,0.69,2043,4.08,620,12033,0,7298,4735,6020,3083,87,2191,4008,0,1171,2837,26472,11404,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
4,214587193,supabase/supabase,2026,observed,2026-08-29,2019-10-12,traditional,high,agent_runtime_infra,supporting_infrastructure,TypeScript,2026-01-01 02:00:51,2026-08-28 10:21:54,60443,43378,4439,6436,0,739,595,1,0,583,156,156,128.69,595,4972,9505,3484,1111,4,581,4923,0,0,,0,6.79,1089,3101,0,2522,579,1665,436,33,4,1341,0,880,461,18536,1196,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
5,979115477,bytedance/deer-flow,2022,not_public_yet,2022-12-31,2025-05-07,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
5,979115477,bytedance/deer-flow,2023,not_public_yet,2023-12-31,2025-05-07,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
5,979115477,bytedance/deer-flow,2024,not_public_yet,2024-12-31,2025-05-07,llm_native,high,agent_framework,agent_building,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
5,979115477,bytedance/deer-flow,2025,observed,2025-12-31,2025-05-07,llm_native,high,agent_framework,agent_building,Python,2025-05-07 07:47:59,2025-12-31 11:36:34,20680,3276,16108,238,214,422,234,2,0,422,7,7,3.13,233,365,705,290,57,3,10,362,3,2,0.17,1,0.15,57,1781,1503,0,278,284,184,5,131,398,264,70,64,854,352,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
5,979115477,bytedance/deer-flow,2026,observed,2026-08-29,2025-05-07,llm_native,high,agent_framework,agent_building,Python,2026-01-01 00:33:27,2026-08-28 14:17:54,34650,21298,11189,692,0,1481,1157,2,0,1479,137,137,2.32,1154,2612,4905,1539,717,2,233,2612,0,0,,0,1.77,702,8224,7583,2,639,483,148,2,8,6584,5963,464,157,4568,933,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
6,740303686,sgl-project/sglang,2022,not_public_yet,2022-12-31,2024-01-08,llm_native,high,model_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
6,740303686,sgl-project/sglang,2023,not_public_yet,2023-12-31,2024-01-08,llm_native,high,model_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
6,740303686,sgl-project/sglang,2024,observed,2024-12-31,2024-01-08,llm_native,high,model_infra,supporting_infrastructure,Python,2024-01-13 06:41:07,2024-12-31 22:52:22,24321,145,7324,4535,10046,819,646,22,0,0,819,744,8.53,646,1753,89,1473,173,10,0,1,1752,1103,0.03,1473,0.81,173,4297,0,178,4119,1611,392,189,647,1693,0,41,1652,220,8342,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
6,740303686,sgl-project/sglang,2025,observed,2025-12-31,2024-01-08,llm_native,high,model_infra,supporting_infrastructure,Python,2025-01-01 00:18:44,2025-12-31 23:57:46,98592,5919,14679,12049,39155,2884,2028,95,0,0,2884,2501,60.44,2026,6551,5260,4605,1325,100,1413,2439,5134,2457,0.33,3043,4.5,1216,21951,0,3050,18901,14475,2998,586,5200,14221,0,5489,8732,10978,35651,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
6,740303686,sgl-project/sglang,2026,observed,2026-08-29,2024-01-08,llm_native,high,model_infra,supporting_infrastructure,Python,2026-01-01 00:23:58,2026-08-28 11:27:36,40687,4181,3715,9767,0,557,544,16,0,0,557,557,60.92,544,1946,3979,1257,1103,50,1946,1756,0,0,,0,119.71,965,8718,0,2900,5818,3925,906,107,0,4227,0,1636,2591,6292,8966,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
7,599547518,vllm-project/vllm,2022,not_public_yet,2022-12-31,2023-02-09,llm_native,high,model_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
7,599547518,vllm-project/vllm,2023,observed,2023-12-31,2023-02-09,llm_native,high,model_infra,supporting_infrastructure,Python,2023-04-22 03:36:03,2023-12-31 22:15:25,25795,140,13808,958,1793,1398,551,20,0,0,1398,1343,1.96,551,652,38,410,132,13,0,0,652,427,0.58,410,5.21,132,6159,0,0,6159,1229,438,41,816,1046,0,0,1046,0,9255,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
7,599547518,vllm-project/vllm,2024,observed,2024-12-31,2023-02-09,llm_native,high,model_infra,supporting_infrastructure,Python,2024-01-01 01:32:48,2024-12-31 23:40:52,116865,504,26648,4806,22991,4344,3750,100,0,0,4344,4103,69.59,3750,4612,248,3183,910,63,0,12,4600,2713,0.71,3183,4.81,910,39521,0,5424,34097,16565,4099,192,10202,15559,0,0,15559,5436,58600,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate
7,599547518,vllm-project/vllm,2025,observed,2025-12-31,2023-02-09,llm_native,high,model_infra,supporting_infrastructure,Python,2025-01-01 00:05:38,2025-12-31 23:53:11,190522,7606,34008,7320,25033,5535,4401,105,0,0,5535,5167,120.44,4399,9109,6557,6179,2444,133,1246,2817,7850,4796,0.78,4514,7.01,2363,55112,0,15612,39500,34255,7415,653,15959,30708,0,5542,25166,23974,78051,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
7,599547518,vllm-project/vllm,2026,observed,2026-08-29,2023-02-09,llm_native,high,model_infra,supporting_infrastructure,Python,2026-01-01 00:26:22,2026-08-28 13:59:55,49184,3900,7294,3914,0,817,884,28,0,0,817,817,121.63,882,1915,3661,1009,1227,30,1915,1596,0,0,,0,96.84,1048,10580,0,4444,6136,7863,1384,101,0,6948,0,2515,4433,8555,11386,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_author_payload_incomplete|pr_merge_duration_incomplete
8,1191372811,larksuite/cli,2022,not_public_yet,2022-12-31,2026-03-25,mixed,medium,agent_runtime_infra,supporting_infrastructure,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
8,1191372811,larksuite/cli,2023,not_public_yet,2023-12-31,2026-03-25,mixed,medium,agent_runtime_infra,supporting_infrastructure,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
8,1191372811,larksuite/cli,2024,not_public_yet,2024-12-31,2026-03-25,mixed,medium,agent_runtime_infra,supporting_infrastructure,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
8,1191372811,larksuite/cli,2025,not_public_yet,2025-12-31,2026-03-25,mixed,medium,agent_runtime_infra,supporting_infrastructure,Go,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
8,1191372811,larksuite/cli,2026,observed,2026-08-29,2026-03-25,mixed,medium,agent_runtime_infra,supporting_infrastructure,Go,2026-03-28 02:43:32,2026-08-27 13:41:48,23665,18060,2725,1881,0,550,348,1,0,550,47,47,9.11,347,1928,3503,1118,433,0,93,1928,0,0,,0,1.69,428,7368,7028,203,137,515,55,0,0,6737,6304,334,99,3017,283,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
9,1128123594,volcengine/OpenViking,2022,not_public_yet,2022-12-31,2026-01-05,llm_native,high,agent_runtime_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
9,1128123594,volcengine/OpenViking,2023,not_public_yet,2023-12-31,2026-01-05,llm_native,high,agent_runtime_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
9,1128123594,volcengine/OpenViking,2024,not_public_yet,2024-12-31,2026-01-05,llm_native,high,agent_runtime_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
9,1128123594,volcengine/OpenViking,2025,not_public_yet,2025-12-31,2026-01-05,llm_native,high,agent_runtime_infra,supporting_infrastructure,Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
9,1128123594,volcengine/OpenViking,2026,observed,2026-08-29,2026-01-05,llm_native,high,agent_runtime_infra,supporting_infrastructure,Python,2026-01-29 12:33:32,2026-08-28 13:54:15,25425,16355,6195,1490,0,928,757,0,0,927,96,96,2,755,3268,6217,2172,759,1,274,3267,0,0,,0,1.82,755,7551,6886,283,382,334,236,16,0,1599,1438,17,144,4496,622,OpenDigger ClickHouse opensource.events,clickhouse_event_aggregate|pr_merge_duration_incomplete
10,965415649,openai/codex,2022,not_public_yet,2022-12-31,2025-04-13,llm_native,high,agent_application,direct_agent_experience,Rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OpenDigger ClickHouse opensource.events,structural_missing_not_zero
